name,id,p_primaryCategory,p_subCategory1,p_subCategory2,p_subCategory3,p_subCategory4,p_brakeType,p_experience,p_price,p_suspension,p_group,p_productFamily,p_gender,p_driveTrain,brand,p_material,p_color,p_scene7_id,p_wheelSize,price,url
S-Works Roubaix - SRAM Red eTAP AXS,171042,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$10000 Or Greater,Front,Bikes,Roubaix,Men,2x|Electronic,Road,Carbon,Satin Carbon-Tarmac Black Black Crystal Black Reflective,94420-02_ROUBAIX-SW-ETAP-CARB-TARBLK-BLKCRY_HERO,NA,11500,https://www.specialized.com/us/en/s-works-roubaix--sram-red-etap-axs/p/171042?color=263085-171042
S-Works Roubaix - Shimano Dura-Ace Di2,170241,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$10000 Or Greater,Front,Bikes,Roubaix,Men,2x|Electronic,Road,Carbon,Gloss Dove Gray/Rocket Red/Black,94420-00_ROUBAIX-SW-DI2-DOVGRY-RKTRED-BLK_HERO,NA,11000,https://www.specialized.com/us/en/s-works-roubaix--shimano-dura-ace-di2/p/170241?color=260602-170241
S-Works Epic AXS,171229,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic,Disc,Cross Country,$10000 Or Greater,Front & Rear,Bikes,Epic FSR|Epic,Men|Women,1x,Mountain,Carbon,Gloss Dove Grey/Rocket Red/Crimson,90320-00_EPIC-SW-CARBON-SRAM-AXS-29-DOVGRY-RKTRED-CRMSN_HERO,29,11000,https://www.specialized.com/us/en/s-works-epic-axs/p/171229?color=264122-171229
Stumpjumper EVO Comp Carbon 29,173494,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,NA,$2500-$5000,NA,Bikes,NA,NA,1x,Mountain,Carbon,GLOSS RED TINT CARBON / DOVE GREY,97519-55_SJ-COMP-CARBON-EVO-29-REDTNT-DOVGRY_HERO,NA,4700,https://www.specialized.com/us/en/stumpjumper-evo-comp-carbon-29/p/173494?color=271060-173494
Stumpjumper EVO Comp Carbon 27.5,173495,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000,NA,Bikes,NA,Men|Women,1x,Mountain,Carbon,GLOSS RED TINT CARBON / DOVE GREY,97519-54_SJ-COMP-CARBON-EVO-275-REDTNT-DOVGRY_HERO,NA,4700,https://www.specialized.com/us/en/stumpjumper-evo-comp-carbon-27-5/p/173495?color=271080-173495
Fuse Expert 29,171068,Sale,Bikes,Mountain Bikes,Trail Bikes,Fuse,Disc,Trail,$1000-$2500,Front,Bikes,Fuse,Men|Women,1x,Mountain,Aluminum,Satin Brushed Alloy/Chameleon,96020-30_FUSE-EXPERT-29-BRSH-CMLN_HERO,29,2150,https://www.specialized.com/us/en/fuse-expert-29/p/171068?color=263307-171068
Fuse Comp 29,171069,Sale,Bikes,Mountain Bikes,Trail Bikes,Fuse,Disc,Trail,$1000-$2500,Front,Bikes,Fuse,Men|Women,1x,Mountain,Aluminum,Gloss Dove Grey/Cast Blue,96020-50_FUSE-COMP-29-DOVGRY-CSTBLU_HERO,29,1675,https://www.specialized.com/us/en/fuse-comp-29/p/171069?color=263340-171069
Fuse 27.5,171070,Sale,Bikes,Mountain Bikes,Trail Bikes,Fuse,Disc,Trail,$1000-$2500,Front,Bikes,Fuse,Men|Women,1x,Mountain,Aluminum,Gloss Crimson/Rocket Red,96020-70_FUSE-275-CRMSN-RKTRED_HERO,27.5,1250,https://www.specialized.com/us/en/fuse-27-5/p/171070?color=263341-171070
Roll Elite LTD Low-Entry – Lobster Roll,173818,Sale,Bikes,Active Bikes,Fitness & Hybrid Bikes,Roll,Disc,Fitness|Urban,$1000-$2500,Rigid,Bikes,Roll,Men|Women,1x,Fitness,Aluminum,Gloss White / Pink / Satin Ferrari Blue,96120-40_ROLL-ELITE-LOW-ENTRY-LTD-WHT-PNK-FRRBLU_HERO,27.5,1000,https://www.specialized.com/us/en/roll-elite-ltd-low-entry--lobster-roll/p/173818?color=274057-173818
Roll Elite LTD - 420 Roll,173814,Sale,Bikes,Active Bikes,Fitness & Hybrid Bikes,Roll,Disc,Fitness|Urban,$1000-$2500,Rigid,Bikes,Roll,Men|Women,1x,Fitness,Aluminum,Gloss Black / Chameleon Green / Holographic Chrome,96120-41_ROLL-ELITE-LTD-BLK-CMLNGRN-HLGCP_HERO,27.5,1000,https://www.specialized.com/us/en/roll-elite-ltd---420-roll/p/173814?color=274034-173814
Roll Elite LTD II – Low Roller,174131,Sale,Bikes,Active Bikes,Fitness & Hybrid Bikes,Roll,Disc,Fitness|Urban,$1000-$2500,Rigid,Bikes,Roll,Men|Women,1x,Fitness,Aluminum,Gloss Chrome / Red,96120-42_ROLL-ELITE-LTD-II-CHRM-RED_HERO,27.5,1000,https://www.specialized.com/us/en/roll-elite-ltd-ii--low-roller/p/174131?color=277300-174131
S-Works Roubaix - Sagan Collection,171046,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$10000 Or Greater,Front,Bikes,Roubaix,Men|Women,2x|Electronic,Road,Carbon,UNDEREXPOSED,94420-01_ROUBAIX-SW-DI2-SAGAN-COLL-UNDRX_HERO,700C,12000,https://www.specialized.com/us/en/s-works-roubaix--sagan-collection/p/171046?color=263081-171046
Womens Diverge Expert X1 Mixtape,159097,Mixtape Collection,NA,NA,NA,NA,Disc,Adventure|Performance Road,$2500-$5000|$5000-$10000,Front,Bikes,Diverge,Women,1x,Road,Carbon,Mixtape Satin Gloss Black/Tarmac Black,95419-32_DIV-WMN_EXPERT-X1-MIXTAPE_MXTP_HERO,700C,5000,https://www.specialized.com/us/en/womens-diverge-expert-x1-mixtape/p/159097?color=241673-159097
Womens Stumpjumper Comp Carbon 27.5—Mixtape LTD,157864,Mixtape Collection,NA,NA,NA,NA,Disc,Trail,$2500-$5000,Front & Rear,Bikes,NA,Women,1x,Mountain,Carbon,Satin Gloss / Mixtape,96319-50_SJ-FSR-WMN_COMP-CARBON-27.5-MIXTAPE_MXTP_HERO,27.5,4520,https://www.specialized.com/us/en/womens-stumpjumper-comp-carbon-27-5mixtape-ltd/p/157864?color=237494-157864
S-Works Venge Frameset – Sagan Collection Mirror LTD,173422,Sale,Bikes,Road Bikes,Performance Road Bikes,Venge,Disc,Performance Road,$5000-$10000,Rigid,Framesets,Venge,Men|Women,2x,Road,Carbon,MIRROR,77820-00_VENGE-SW-DISC-FRMSET-SAGAN-COLL-MIRROR_HERO,700C,6000,https://www.specialized.com/us/en/s-works-venge-frameset-sagan-collection-mirror-ltd/p/173422?color=270540-173422
S-Works Tarmac Disc Frameset - Mixtape LTD,157775,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Disc,Performance Road,$2500-$5000,Rigid,Framesets,Tarmac,Men|Women,2x,Road,Carbon,Mixtape Collection,70619-09_TAR_SL6-SW-DISC-FRMSET-MIXTAPE_MXTP_HERO,700C,4500,https://www.specialized.com/us/en/s-works-tarmac-disc-frameset--mixtape-ltd/p/157775?color=239550-157775
Stumpjumper EVO Alloy 29 - Frameset,173499,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$1000-$2500,Front & Rear,Framesets,Stumpjumper Evo,Men,1x,Mountain,Aluminum,SATIN CAST BATTLESHIP / COOL GREY,73319-71_SJ-ALLOY-EVO-29-FRM-CSTBTLSHP-CLGRY_HERO,29,2000,https://www.specialized.com/us/en/stumpjumper-evo-alloy-29--frameset/p/173499?color=271061-173499
Stumpjumper EVO Alloy 27.5 - Frameset,173498,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$1000-$2500,Front & Rear,Framesets,Stumpjumper Evo,Men,1x,Mountain,Aluminum,SATIN CAST BATTLESHIP / COOL GREY,73319-70_SJ-ALLOY-EVO-275-FRM-CSTBTLSHP-CLGRY_HERO,27.5,2000,https://www.specialized.com/us/en/stumpjumper-evo-alloy-27-5--frameset/p/173498?color=271082-173498
Fuse M4 Frameset,171186,Sale,Bikes,Mountain Bikes,Trail Bikes,Fuse,Disc,Trail,$500-$1000,Front,Bikes|Framesets,Fuse,Men|Women,1x,Mountain,Aluminum,Satin Oak Green/Bronze Foil,76020-72_FUSE-M4-29-FRM-OAKGRN-BNZFL_HERO,29,800,https://www.specialized.com/us/en/fuse-m4-frameset/p/171186?color=263260-171186
S-Works Epic Frameset – Troy Lee Designs LTD,171334,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic,Disc,Cross Country,$2500-$5000|$5000-$10000,Front & Rear,Framesets,Epic,Men|Women,NA,Mountain,Carbon,SATIN BLUE TINT/MIRAGE BLUE,70319-05_EPIC-MEN-SW-CARBON-LTD-29-FRMSET-BLUTNT-TLDMRGBLU_HERO,29,5000,https://www.specialized.com/us/en/s-works-epic-frameset--troy-lee-designs-ltd/p/171334?color=263922-171334
S-Works Shiv Disc Limited-Edition,171376,Sale,Bikes,Road Bikes,Triathlon Bikes,NA,NA,NA,$10000 Or Greater,NA,Bikes,NA,NA,NA,Road,NA,Sunset Five-O/Gloss White,97419-00_SHIV-SW-DISC-DI2-LTD-SNST-FIVE-O-WHT_HERO,NA,14000,https://www.specialized.com/us/en/s-works-shiv-disc-limited-edition/p/171376?color=264700-171376
S-Works Shiv TT Disc,171304,Sale,Bikes,Road Bikes,Performance Road Bikes,Shiv TT,Disc,Performance Road,$10000 Or Greater,Rigid,Bikes,Shiv TT,Men|Women,1x,Road,Carbon,Gloss Tarmac Black/White,ROAD-+2670__PDP_Product-Carousel_3840x1280-1,700C,14000,https://www.specialized.com/us/en/s-works-shiv-tt-disc/p/171304?color=271716-171304
S-Works Venge,154588,Sale,Bikes,Road Bikes,Performance Road Bikes,Venge,Disc,Performance Road,$10000 Or Greater,Rigid,Bikes,Venge,Men,2x|Electronic,Road,Carbon,Satin Black/Silver Holo/Clean,97819-00_VENGE-SW-DISC-DI2-BLK-SILHLG_HERO,700C,12520,https://www.specialized.com/us/en/s-works-venge/p/154588?color=255233-154588
S-Works Venge Disc – SRAM eTAP,171239,Sale,Bikes,Road Bikes,Performance Road Bikes,Venge,Disc,Performance Road,$10000 Or Greater,Rigid,Bikes,Venge,Men,2x|Electronic,Road,Carbon,Gloss Metallic White Silver/Lite Silver Fade,97819-03_VENGE-SW-DISC-ETAP-METWHTSIL-LTSIL_HERO,700C,12520,https://www.specialized.com/us/en/s-works-venge-disc-sram-etap/p/171239?color=263280-171239
Mens S-Works Turbo Levo,154393,Sale,Bikes,S-Works Bikes,NA,NA,Disc,Trail|Turbo Levo,$10000 Or Greater,Front & Rear,Bikes,Turbo Levo FSR,Men,1x,E-Bike|Mountain,Carbon,Oil Slick Chameleon Tint/Carbon/Light Silver,95219-00_LEVO-FSR_SW-CARBON-29_OIL-CARB-LTSIL_HERO,29,12050,https://www.specialized.com/us/en/mens-s-works-turbo-levo/p/154393?color=239489-154393
Womens S-Works Tarmac Disc,154627,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Disc,Performance Road,$10000 Or Greater,Rigid,Bikes,Tarmac,Women,2x|Electronic,Road,Carbon,Gloss Chameleon Flake/Satin Acid Red/Clean,97218-01_SW-TARMAC-WMN-SL6-DISC-DI2-CMLN-ACDRED_HERO,700C,11000,https://www.specialized.com/us/en/womens-s-works-tarmac-disc/p/154627?color=237257-154627
Mens S-Works Tarmac Disc,154624,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Disc,Performance Road,$10000 Or Greater,Rigid,Bikes,Tarmac,Men,2x|Electronic,Road,Carbon,Satin Black/Silver Holo/Clean,90618-03_SW-TARMAC-MEN-SL6-DISC-DI2-FLORED-METWHTSIL-BLK_HERO,700C,11000,https://www.specialized.com/us/en/mens-s-works-tarmac-disc/p/154624?color=227261-154624
S-Works Tarmac Disc – SRAM eTAP,154553,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Disc,Performance Road,$10000 Or Greater,Rigid,Bikes,Tarmac,Men,2x|Electronic,Road,Carbon,Gloss Metallic White Silver/Lite Silver Fade,90619-02_TARMAC-SL6-SW-DISC-ETAP-METWHTSIL-LTSIL_HERO,700C,11000,https://www.specialized.com/us/en/s-works-tarmac-disc-sram-etap/p/154553?color=227220-154553
S-Works Venge ViAS Disc eTap,134294,Sale,Bikes,Road Bikes,Triathlon Bikes,Venge,Disc,Performance Road|Triathlon,$10000 Or Greater,Rigid,Bikes,Venge,Men|Women,2x|Electronic,Road,Carbon,Gloss Metallic White/Satin Carbon/Black,99017-04_VENGE_SW-DISC-VIAS-ETAP_METWHT-CARB-BLK_HERO,NA,10500,https://www.specialized.com/us/en/s-works-venge-vias-disc-etap/p/134294?color=240052-134294
S-Works Epic EVO,154350,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic,Disc,Cross Country,$10000 Or Greater,Front & Rear,Bikes,Epic Evo,Men,1x,Mountain,Carbon,Satin Carbon/Holographic Chrome,90319-00_EPIC-MEN-SW-CARBON-EVO-29-CARB-SILHLG-CHRM_HERO,29,10400,https://www.specialized.com/us/en/s-works-epic-evo/p/154350?color=239061-154350
Mens S-Works Epic,154349,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic,Disc,Cross Country,$10000 Or Greater,Front & Rear,Bikes,Epic,Men,1x,Mountain,Carbon,Gloss Carbon/Rocket Red,90319-01_EPIC_SW-CARBON-SRAM-29_CARB-RKTRED_HERO,29,10020,https://www.specialized.com/us/en/mens-s-works-epic/p/154349?color=239063-154349
Womens S-Works Epic,154354,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic,Disc,Cross Country,$10000 Or Greater,Front & Rear,Bikes,Epic,Women,1x,Mountain,Carbon,Satin Gloss Chameleon Flake/Acid Kiwi,93019-00_EPIC-WMN_SW-CARBON-29_CMLN-ACDKWI_HERO,29,10020,https://www.specialized.com/us/en/womens-s-works-epic/p/154354?color=239068-154354
S-Works Roubaix Dura-Ace Di2,128885,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$5000-$10000,Front,Bikes,Roubaix,Men,2x|Electronic,Road,Carbon,Carbon/Metallic White Silver,97317-01_RBX_SW-DI2_CARB-METWHTSIL_HERO,NA,10000,https://www.specialized.com/us/en/s-works-roubaix-dura-ace-di2/p/128885?color=240074-128885
Mens S-Works Diverge,154308,Sale,Bikes,S-Works Bikes,NA,NA,Disc,Adventure|Performance Road,$5000-$10000|$10000 Or Greater,Front,Bikes,Diverge,Men,1x|Electronic,Road,Carbon,Satin Carbon/Gloss Black,95419-00_DIV_SW-DI2_CARB-BLK_HERO,700C,10000,https://www.specialized.com/us/en/mens-s-works-diverge/p/154308?color=239529-154308
S-Works Roubaix,154478,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$5000-$10000|$10000 Or Greater,Front,Bikes,Roubaix,Men,2x|Electronic,Road,Carbon,Satin Carbon/Metallic White Silver,94419-01_RBX_SW-DI2_TARBLK-CMLN-LTTUR_HERO,700C,10000,https://www.specialized.com/us/en/s-works-roubaix/p/154478?color=227334-154478
S-Works Stumpjumper ST 29,157593,Sale,Bikes,S-Works Bikes,NA,NA,Disc,Trail,$5000-$10000,Front & Rear,Bikes,Stumpjumper ST,Men,1x,Mountain,Carbon,Gloss Acid Kiwi/Black,94718-06_SJ-FSR-ST-MEN-SW-CARBON-29-CKD-ACDKWI-BLK_HERO,29,9520,https://www.specialized.com/us/en/s-works-stumpjumper-st-29/p/157593?color=261167-157593
S-Works Stumpjumper 29,154551,Sale,Bikes,S-Works Bikes,NA,NA,Disc,Trail,$5000-$10000,Front & Rear,Bikes,Stumpjumper,Men,1x,Mountain,Carbon,Gloss White / Cool Grey,95718-06_SJ-FSR-MEN-SW-CARBON-29-CKD-ACDKWI-BLK_HERO,29,9520,https://www.specialized.com/us/en/s-works-stumpjumper-29/p/154551?color=261142-154551
S-Works Stumpjumper 27.5,154547,Sale,Bikes,S-Works Bikes,NA,NA,Disc,Trail,$5000-$10000,Front & Rear,Bikes,Stumpjumper,Men,1x,Mountain,Carbon,Gloss Acid Kiwi/Black,95718-04_SJ-FSR-MEN-SW-CARBON-275-CKD-ACDKWI-BLK_HERO,27.5,9520,https://www.specialized.com/us/en/s-works-stumpjumper-27-5/p/154547?color=261144-154547
S-Works Stumpjumper ST 27.5,157592,Sale,Bikes,S-Works Bikes,NA,NA,Disc,Trail,$5000-$10000,Front & Rear,Bikes,Stumpjumper ST,Men,1x,Mountain,Carbon,Gloss Acid Kiwi/Black,94718-00_SJ-FSR-ST-MEN-SW-CARBON-275-ACDKWI-BLK_HERO,27.5,9520,https://www.specialized.com/us/en/s-works-stumpjumper-st-27-5/p/157592?color=236250-157592
